Date,UCMSUO
1992-01-01,23212000000.00
1992-02-01,23068000000.00
1992-03-01,22520000000.00
1992-04-01,22186000000.00
1992-05-01,21979000000.00
1992-06-01,21878000000.00
1992-07-01,21764000000.00
1992-08-01,21264000000.00
1992-09-01,21102000000.00
1992-10-01,20664000000.00
1992-11-01,20121000000.00
1992-12-01,20446000000.00
1993-01-01,21294000000.00
1993-02-01,21507000000.00
1993-03-01,21535000000.00
1993-04-01,21339000000.00
1993-05-01,20802000000.00
1993-06-01,20679000000.00
1993-07-01,20990000000.00
1993-08-01,20929000000.00
1993-09-01,20947000000.00
1993-10-01,20816000000.00
1993-11-01,20575000000.00
1993-12-01,21319000000.00
1994-01-01,22205000000.00
1994-02-01,22718000000.00
1994-03-01,23246000000.00
1994-04-01,23227000000.00
1994-05-01,23283000000.00
1994-06-01,23974000000.00
1994-07-01,24346000000.00
1994-08-01,24178000000.00
1994-09-01,24008000000.00
1994-10-01,23974000000.00
1994-11-01,23995000000.00
1994-12-01,24547000000.00
1995-01-01,25576000000.00
1995-02-01,25924000000.00
1995-03-01,26015000000.00
1995-04-01,26006000000.00
1995-05-01,26548000000.00
1995-06-01,26460000000.00
1995-07-01,26785000000.00
1995-08-01,26751000000.00
1995-09-01,26570000000.00
1995-10-01,26309000000.00
1995-11-01,26461000000.00
1995-12-01,26510000000.00
1996-01-01,27467000000.00
1996-02-01,27619000000.00
1996-03-01,27745000000.00
1996-04-01,28075000000.00
1996-05-01,28134000000.00
1996-06-01,28378000000.00
1996-07-01,28861000000.00
1996-08-01,29011000000.00
1996-09-01,29096000000.00
1996-10-01,28753000000.00
1996-11-01,28465000000.00
1996-12-01,28645000000.00
1997-01-01,29274000000.00
1997-02-01,29727000000.00
1997-03-01,29795000000.00
1997-04-01,30501000000.00
1997-05-01,31190000000.00
1997-06-01,32024000000.00
1997-07-01,32559000000.00
1997-08-01,32428000000.00
1997-09-01,32681000000.00
1997-10-01,32641000000.00
1997-11-01,32466000000.00
1997-12-01,32625000000.00
1998-01-01,33809000000.00
1998-02-01,34524000000.00
1998-03-01,34934000000.00
1998-04-01,35797000000.00
1998-05-01,35778000000.00
1998-06-01,35901000000.00
1998-07-01,35901000000.00
1998-08-01,35317000000.00
1998-09-01,34905000000.00
1998-10-01,33435000000.00
1998-11-01,33628000000.00
1998-12-01,33199000000.00
1999-01-01,33638000000.00
1999-02-01,33930000000.00
1999-03-01,34375000000.00
1999-04-01,34612000000.00
1999-05-01,34764000000.00
1999-06-01,34849000000.00
1999-07-01,35263000000.00
1999-08-01,35294000000.00
1999-09-01,35075000000.00
1999-10-01,34482000000.00
1999-11-01,34291000000.00
1999-12-01,34095000000.00
2000-01-01,35066000000.00
2000-02-01,35194000000.00
2000-03-01,35526000000.00
2000-04-01,36162000000.00
2000-05-01,36626000000.00
2000-06-01,36541000000.00
2000-07-01,36927000000.00
2000-08-01,37041000000.00
2000-09-01,36602000000.00
2000-10-01,36420000000.00
2000-11-01,36274000000.00
2000-12-01,36075000000.00
2001-01-01,36359000000.00
2001-02-01,35984000000.00
2001-03-01,36588000000.00
2001-04-01,36539000000.00
2001-05-01,36157000000.00
2001-06-01,36102000000.00
2001-07-01,36599000000.00
2001-08-01,36219000000.00
2001-09-01,34852000000.00
2001-10-01,33612000000.00
2001-11-01,32887000000.00
2001-12-01,32375000000.00
2002-01-01,33035000000.00
2002-02-01,33515000000.00
2002-03-01,33861000000.00
2002-04-01,34086000000.00
2002-05-01,34842000000.00
2002-06-01,33980000000.00
2002-07-01,34724000000.00
2002-08-01,33904000000.00
2002-09-01,33401000000.00
2002-10-01,33151000000.00
2002-11-01,32888000000.00
2002-12-01,31928000000.00
2003-01-01,31956000000.00
2003-02-01,33851000000.00
2003-03-01,34165000000.00
2003-04-01,33745000000.00
2003-05-01,33915000000.00
2003-06-01,33501000000.00
2003-07-01,33824000000.00
2003-08-01,33668000000.00
2003-09-01,33824000000.00
2003-10-01,34077000000.00
2003-11-01,34438000000.00
2003-12-01,34314000000.00
2004-01-01,35961000000.00
2004-02-01,37394000000.00
2004-03-01,39001000000.00
2004-04-01,40903000000.00
2004-05-01,41567000000.00
2004-06-01,41015000000.00
2004-07-01,40569000000.00
2004-08-01,40850000000.00
2004-09-01,39486000000.00
2004-10-01,40025000000.00
2004-11-01,39965000000.00
2004-12-01,39912000000.00
2005-01-01,40508000000.00
2005-02-01,41611000000.00
2005-03-01,42796000000.00
2005-04-01,43397000000.00
2005-05-01,44781000000.00
2005-06-01,44831000000.00
2005-07-01,45029000000.00
2005-08-01,45457000000.00
2005-09-01,46040000000.00
2005-10-01,46310000000.00
2005-11-01,46699000000.00
2005-12-01,46844000000.00
2006-01-01,47632000000.00
2006-02-01,48262000000.00
2006-03-01,50065000000.00
2006-04-01,51225000000.00
2006-05-01,53153000000.00
2006-06-01,52399000000.00
2006-07-01,52663000000.00
2006-08-01,51778000000.00
2006-09-01,51439000000.00
2006-10-01,50799000000.00
2006-11-01,49803000000.00
2006-12-01,49445000000.00
2007-01-01,50204000000.00
2007-02-01,50871000000.00
2007-03-01,52298000000.00
2007-04-01,53126000000.00
2007-05-01,54621000000.00
2007-06-01,54520000000.00
2007-07-01,53782000000.00
2007-08-01,53367000000.00
2007-09-01,53664000000.00
2007-10-01,53475000000.00
2007-11-01,53263000000.00
2007-12-01,53954000000.00
2008-01-01,55257000000.00
2008-02-01,55183000000.00
2008-03-01,57442000000.00
2008-04-01,58732000000.00
2008-05-01,59847000000.00
2008-06-01,59784000000.00
2008-07-01,59475000000.00
2008-08-01,58500000000.00
2008-09-01,57174000000.00
2008-10-01,56154000000.00
2008-11-01,54108000000.00
2008-12-01,53353000000.00
2009-01-01,50860000000.00
2009-02-01,48877000000.00
2009-03-01,47392000000.00
2009-04-01,46223000000.00
2009-05-01,45397000000.00
2009-06-01,43222000000.00
2009-07-01,41945000000.00
2009-08-01,40799000000.00
2009-09-01,40355000000.00
2009-10-01,40773000000.00
2009-11-01,40406000000.00
2009-12-01,40187000000.00
2010-01-01,40532000000.00
2010-02-01,41357000000.00
2010-03-01,43034000000.00
2010-04-01,44248000000.00
2010-05-01,44744000000.00
2010-06-01,45045000000.00
2010-07-01,45631000000.00
2010-08-01,46058000000.00
2010-09-01,46770000000.00
2010-10-01,46187000000.00
2010-11-01,46395000000.00
2010-12-01,47228000000.00
2011-01-01,48319000000.00
2011-02-01,49232000000.00
2011-03-01,50082000000.00
2011-04-01,50728000000.00
2011-05-01,51110000000.00
2011-06-01,50497000000.00
2011-07-01,50230000000.00
2011-08-01,48995000000.00
2011-09-01,48558000000.00
2011-10-01,47789000000.00
2011-11-01,47392000000.00
2011-12-01,46914000000.00
2012-01-01,47491000000.00
2012-02-01,48634000000.00
2012-03-01,49529000000.00
2012-04-01,50252000000.00
2012-05-01,51223000000.00
2012-06-01,51201000000.00
2012-07-01,52135000000.00
2012-08-01,50647000000.00
2012-09-01,50625000000.00
2012-10-01,50574000000.00
2012-11-01,49862000000.00
2012-12-01,46683000000.00
2013-01-01,46502000000.00
2013-02-01,47310000000.00
2013-03-01,47874000000.00
2013-04-01,47829000000.00
2013-05-01,48590000000.00
2013-06-01,48009000000.00
2013-07-01,48260000000.00
2013-08-01,47858000000.00
2013-09-01,47809000000.00
2013-10-01,47734000000.00
2013-11-01,47281000000.00
2013-12-01,47466000000.00
2014-01-01,47974000000.00
2014-02-01,48674000000.00
2014-03-01,49173000000.00
2014-04-01,49676000000.00
2014-05-01,50656000000.00
2014-06-01,50237000000.00
2014-07-01,50089000000.00
2014-08-01,49563000000.00
2014-09-01,48954000000.00
2014-10-01,49182000000.00
2014-11-01,48443000000.00
2014-12-01,47168000000.00
2015-01-01,47594000000.00
2015-02-01,48040000000.00
2015-03-01,48812000000.00
2015-04-01,49116000000.00
2015-05-01,49485000000.00
2015-06-01,49727000000.00
2015-07-01,49791000000.00
2015-08-01,49085000000.00
2015-09-01,48845000000.00
2015-10-01,48179000000.00
2015-11-01,47447000000.00
2015-12-01,47464000000.00
2016-01-01,48143000000.00
2016-02-01,48888000000.00
2016-03-01,49397000000.00
2016-04-01,49951000000.00
2016-05-01,50734000000.00
2016-06-01,50615000000.00
2016-07-01,50481000000.00
2016-08-01,49612000000.00
2016-09-01,48920000000.00
2016-10-01,49110000000.00
2016-11-01,48984000000.00
2016-12-01,48126000000.00
2017-01-01,49127000000.00
2017-02-01,49187000000.00
2017-03-01,50922000000.00
2017-04-01,51911000000.00
2017-05-01,52726000000.00
2017-06-01,52537000000.00
2017-07-01,52931000000.00
2017-08-01,52586000000.00
2017-09-01,52768000000.00
2017-10-01,52570000000.00
2017-11-01,52829000000.00
2017-12-01,52571000000.00
2018-01-01,53570000000.00
2018-02-01,54870000000.00
2018-03-01,56455000000.00
2018-04-01,57892000000.00
